Treatment,Replicate,Measurement,Droppings,Herbivore,Plantspecies,Who,Day
Salt Marsh,2,4,2,Rabbit,3,Nguyen,1
Salt Marsh,2,5,2,Rabbit,6,Nguyen,1
Salt Marsh,3,1,0,Rabbit,7,Julia/Sharmi,1
Salt Marsh,3,2,1,Rabbit,6,Julia/Sharmi,1
Salt Marsh,3,3,0,Rabbit,5,Julia/Sharmi,1
Salt Marsh,3,4,3,Rabbit,5,Julia/Sharmi,1
Salt Marsh,3,5,1,Rabbit,8,Julia/Sharmi,1
Salt Marsh,4,1,0,Rabbit,4,Nguyen,2
Salt Marsh,4,2,0,Rabbit,8,Nguyen,2
Salt Marsh,4,3,0,Rabbit,7,Julia/Sharmi,2
Salt Marsh,4,4,2,Rabbit,6,Julia/Sharmi,2
Salt Marsh,4,5,2,Rabbit,6,Julia/Sharmi,2
Agric. grassland,1,1,0,Hare,4,Julia/Sharmi,1
Agric. grassland,1,2,0,Hare,4,Julia/Sharmi,1
Agric. grassland,1,3,0,Hare,3,Nguyen,1
Agric. grassland,1,4,0,Hare,3,Nguyen,1
Agric. grassland,1,5,0,Hare,3,Nguyen,1
Agric. grassland,2,1,0,Hare,4,Julia/Sharmi,1
Agric. grassland,2,2,0,Hare,3,Julia/Sharmi,1
Agric. grassland,2,3,0,Hare,3,Julia/Sharmi,1
Agric. grassland,2,4,0,Hare,3,Nguyen,1
Agric. grassland,2,5,0,Hare,5,Nguyen,1
Agric. grassland,3,1,1,Hare,3,Julia/Sharmi,1
Agric. grassland,3,2,0,Hare,2,Julia/Sharmi,1
Agric. grassland,3,3,0,Hare,1,Julia/Sharmi,1
Agric. grassland,3,4,3,Hare,1,Nguyen,1
Agric. grassland,3,5,0,Hare,1,Nguyen,1
Agric. grassland,4,1,0,Hare,1,Nguyen,2
Agric. grassland,4,2,0,Hare,1,Nguyen,2
Agric. grassland,4,3,0,Hare,3,Julia/Nguyen,2
Agric. grassland,4,4,0,Hare,4,Julia/Sharmi,2
Agric. grassland,4,5,0,Hare,2,Julia/Sharmi,2
Agric. grassland,1,1,0,Rabbit,4,Julia/Sharmi,1
Agric. grassland,1,2,0,Rabbit,4,Julia/Sharmi,1
Agric. grassland,1,3,0,Rabbit,3,Nguyen,1
Agric. grassland,1,4,0,Rabbit,3,Nguyen,1
Agric. grassland,1,5,0,Rabbit,3,Nguyen,1
Agric. grassland,2,1,0,Rabbit,4,Julia/Sharmi,1
Agric. grassland,2,2,0,Rabbit,3,Julia/Sharmi,1
Agric. grassland,2,3,0,Rabbit,3,Julia/Sharmi,1
Agric. grassland,2,4,0,Rabbit,3,Nguyen,1
Agric. grassland,2,5,0,Rabbit,5,Nguyen,1
Agric. grassland,3,1,0,Rabbit,3,Julia/Sharmi,1
Agric. grassland,3,2,0,Rabbit,2,Julia/Sharmi,1
Agric. grassland,3,3,0,Rabbit,1,Julia/Sharmi,1
Agric. grassland,3,4,0,Rabbit,1,Nguyen,1
Agric. grassland,3,5,0,Rabbit,1,Nguyen,1
Agric. grassland,4,1,0,Rabbit,1,Nguyen,2
Agric. grassland,4,2,0,Rabbit,1,Nguyen,2
Agric. grassland,4,3,0,Rabbit,3,Julia/Nguyen,2
Agric. grassland,4,4,0,Rabbit,4,Julia/Sharmi,2
Agric. grassland,4,5,0,Rabbit,2,Julia/Sharmi,2
